State,2019-Tax Rate
District of Columbia,
New Jersey,
Connecticut,
Rhode Island,
Massachusetts,
Maryland,
Pennsylvania,
Ohio,
New York,
Delaware,
Illinois,
Vermont,
Virginia,9.3％
New Hampshire,7.9％ 
North Carolina,
Michigan,
Florida,8.9％ 
Indiana,
Kentucky,
Tennessee,7.3％
South Carolina,8.4％
California,
Wisconsin,
West Virginia,
Georgia,9.1％ 
Missouri,9.3％ 
Oklahoma,8.6％ 
Iowa,9.2％ 
Louisiana,7.6％
Alabama,8.7％ 
Mississippi,8.6％ 
Washington,9.3％
Texas,7.6％
Minnesota,
Arkansas,
Kansas,
Maine,
Utah,
Colorado,8.9％ 
Arizona,8.8％
Wyoming,7.1％
South Dakota,7.1％
North Dakota,9.0％
Montana,8.7％
Oregon,
Idaho,9.3％
New Mexico,8.7％ 
Hawaii,
Nebraska,9.2％ 
Nevada,8.1％ 
Alaska,6.5％
