U.S. No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emd_epd2dxl0_pte_nus_dpg&f=m
21:39:57 GMT+0800 (中国标准时间)
Source: U.S. Energy Information Administration
Month,U.S. No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices Dollars per Gallon
Feb 2021,2.847
Jan 2021,2.681
Dec 2020,2.585
Nov 2020,2.432
Oct 2020,2.389
Sep 2020,2.414
Aug 2020,2.429
Jul 2020,2.434
Jun 2020,2.408
May 2020,2.392
Apr 2020,2.493
Mar 2020,2.729
Feb 2020,2.91
Jan 2020,3.048
Dec 2019,3.055
Nov 2019,3.069
Oct 2019,3.053
Sep 2019,3.016
Aug 2019,3.005
Jul 2019,3.045
Jun 2019,3.089
May 2019,3.161
Apr 2019,3.121
Mar 2019,3.076
Feb 2019,2.997
Jan 2019,2.98
Dec 2018,3.123
Nov 2018,3.3
Oct 2018,3.365
Sep 2018,3.262
Aug 2018,3.218
Jul 2018,3.233
Jun 2018,3.253
May 2018,3.244
Apr 2018,3.096
Mar 2018,2.988
Feb 2018,3.046
Jan 2018,3.018
Dec 2017,2.909
Nov 2017,2.909
Oct 2017,2.794
Sep 2017,2.785
Aug 2017,2.595
Jul 2017,2.496
Jun 2017,2.511
May 2017,2.56
Apr 2017,2.583
Mar 2017,2.554
Feb 2017,2.568
Jan 2017,2.58
Dec 2016,2.51
Nov 2016,2.439
Oct 2016,2.454
Sep 2016,2.394
Aug 2016,2.351
Jul 2016,2.405
Jun 2016,2.423
May 2016,2.315
Apr 2016,2.152
Mar 2016,2.09
Feb 2016,1.998
Jan 2016,2.143
Dec 2015,2.31
Nov 2015,2.467
Oct 2015,2.519
Sep 2015,2.505
Aug 2015,2.595
Jul 2015,2.788
Jun 2015,2.873
May 2015,2.888
Apr 2015,2.782
Mar 2015,2.897
Feb 2015,2.858
Jan 2015,2.997
Dec 2014,3.411
Nov 2014,3.647
Oct 2014,3.681
Sep 2014,3.792
Aug 2014,3.838
Jul 2014,3.884
Jun 2014,3.906
May 2014,3.943
Apr 2014,3.964
Mar 2014,4.001
Feb 2014,3.984
Jan 2014,3.893
Dec 2013,3.882
Nov 2013,3.839
Oct 2013,3.885
Sep 2013,3.961
Aug 2013,3.905
Jul 2013,3.866
Jun 2013,3.849
May 2013,3.87
Apr 2013,3.93
Mar 2013,4.068
Feb 2013,4.111
Jan 2013,3.909
Dec 2012,3.961
Nov 2012,4
Oct 2012,4.094
Sep 2012,4.12
Aug 2012,3.983
Jul 2012,3.721
Jun 2012,3.759
May 2012,3.979
Apr 2012,4.115
Mar 2012,4.127
Feb 2012,3.953
Jan 2012,3.833
Dec 2011,3.861
Nov 2011,3.962
Oct 2011,3.798
Sep 2011,3.837
Aug 2011,3.86
Jul 2011,3.905
Jun 2011,3.933
May 2011,4.047
Apr 2011,4.064
Mar 2011,3.905
Feb 2011,3.584
Jan 2011,3.388
Dec 2010,3.243
Nov 2010,3.14
Oct 2010,3.052
Sep 2010,2.946
Aug 2010,2.959
Jul 2010,2.912
Jun 2010,2.95
May 2010,3.073
Apr 2010,3.063
Mar 2010,2.918
Feb 2010,2.789
Jan 2010,2.849
Dec 2009,2.749
Nov 2009,2.797
Oct 2009,2.676
Sep 2009,2.63
Aug 2009,2.638
Jul 2009,2.544
Jun 2009,2.532
May 2009,2.233
Apr 2009,2.225
Mar 2009,2.097
Feb 2009,2.205
Jan 2009,2.302
Dec 2008,2.457
Nov 2008,2.889
Oct 2008,3.589
Sep 2008,4.036
Aug 2008,4.315
Jul 2008,4.712
Jun 2008,4.687
May 2008,4.434
Apr 2008,4.094
Mar 2008,3.889
Feb 2008,3.386
Jan 2008,3.322
Dec 2007,3.356
Nov 2007,3.409
Oct 2007,3.087
Sep 2007,2.961
Aug 2007,2.881
Jul 2007,2.881
Jun 2007,2.826
May 2007,2.818
Apr 2007,2.847
Mar 2007,2.68
Feb 2007,2.513
