Internal ID,Order Type,Date Created,PMM Order Date,Document Number,In Report 3?,Status,Requested Pickup Date,Actual Carrier Pickup Date,Actual Carrier Delivery Date,Pick-Up Ergent?,Name-Receiver/Destination,Donor,Carrier Code,Subsidy Amount,Actual Freight Cost,Total Order Pounds,Total Gross Weight Fulfilled,Miles,Shipping Method Code,Drop Off Member 1,Drop Off Member 2,Drop Off Member 3,Drop Off Member 4
48524774,Produce,2020/11/2 7:00,2020/11/2,PR48524774,1,Billed,2020/11/2,2020/11/2,2020/11/4,0,"Cust-2004 Atlanta, GA Food Bank (FB)",V-100995 Torrey Farms Inc,CR10015,"-1,500.00","3,925.00",40000,40000,946,FA Arranged,Cust-2004,,,
48524778,Produce,2020/11/2 7:06,2020/11/2,PR48524778,1,Billed,2020/11/5,2020/11/6,2020/11/7,3,"Cust-2227 El Paso, Texas Food Bank (FB)",V-101558 Community Food Bank of Southern Arizona,CR10029,"-1,500.00","1,693.12",40000,40000,388,FA Arranged,Cust-2227,,,
48524779,Produce,2020/11/2 7:10,2020/11/2,PR48524779,1,Pending Billing,2020/11/6,,,4,"Cust-2124 Las Vegas, Nevada Food Bank (FB)",V-101024 Feeding Washington,CR10065,"-1,500.00","1,935.00",42000,42000,626.3,Vendor Arranged,Cust-2124,,,
48524782,Produce,2020/11/2 7:15,2020/11/2,PR48524782,1,Billed,2020/11/16,2020/11/16,2020/11/17,14,"Cust-2122 Charleston, South Carolina Food Bank (FB)","V-102148 Kornegay Family Produce, LLC",CR10001,"-1,500.00","1,548.84",40000,40000,266,FA Arranged,Cust-2122,,,
48524784,Produce,2020/11/2 7:15,2020/11/2,PR48524784,1,Billed,2020/11/9,2020/11/9,2020/11/10,7,"Cust-2122 Charleston, South Carolina Food Bank (FB)","V-102148 Kornegay Family Produce, LLC",CR10034,"-1,262.84","1,262.84",40000,40000,266,FA Arranged,Cust-2122,,,
48524973,Produce,2020/11/2 7:25,2020/11/2,PR48524973,1,Partially Fulfilled,2020/11/3,,,1,"Cust-2124 Las Vegas, Nevada Food Bank (FB)",V-101024 Feeding Washington,CR10065,"-1,500.00","1,635.00",42000,42000,626.3,Vendor Arranged,Cust-2124,,,
48524976,Produce,2020/11/2 7:31,2020/11/2,PR48524976,1,Billed,2020/11/9,,,7,Cust-2248 Grove City Cluster,V-101024 Feeding Washington,CR10065,"-1,500.00","3,845.00",36000,36000,1580.7,Vendor Arranged,Cust-2248,,,
48524977,Produce,2020/11/2 7:31,2020/11/2,PR48524977,1,Billed,2020/11/2,,,0,Cust-2248 Grove City Cluster,V-101024 Feeding Washington,CR10065,"-1,500.00","4,145.00",36000,36000,1580.7,Vendor Arranged,Cust-2248,,,
48524978,Produce,2020/11/2 7:31,2020/11/2,PR48524978,1,Billed,2020/11/9,,,7,Cust-2248 Grove City Cluster,V-101024 Feeding Washington,CR10065,"-1,500.00","3,845.00",36000,36000,1580.7,Vendor Arranged,Cust-2248,,,
48524979,Produce,2020/11/2 7:31,2020/11/2,PR48524979,1,Billed,2020/11/2,,,0,Cust-2248 Grove City Cluster,V-101024 Feeding Washington,CR10065,"-1,500.00","3,845.00",36000,36000,1580.7,Vendor Arranged,Cust-2248,,,
48524980,Produce,2020/11/2 7:35,2020/11/2,PR48524980,1,Billed,2020/11/3,,,1,Cust-2248 Grove City Cluster,V-101024 Feeding Washington,CR10065,"-1,500.00","4,145.00",37044,37044,1572,Vendor Arranged,Cust-2248,,,
48524985,Produce,2020/11/2 8:15,2020/11/2,PR48524985,1,Pending Fulfillment,2020/11/5,2020/11/5,,3,Cust-2271 Austin Co-op,V-103043 Collaborative For Fresh Produce,CR10005,"-1,500.00","1,800.00",40000,,572,FA Arranged,Cust-2134,,,
48524986,Produce,2020/11/2 8:15,2020/11/2,PR48524986,1,Billed,2020/11/3,2020/11/3,2020/11/5,1,Cust-2271 Austin Co-op,V-101024 Feeding Washington,CR10001,"-1,500.00","4,425.87",42000,42000,1463,FA Arranged,Cust-2271,,,
48525506,Produce,2020/11/2 9:15,2020/11/2,PR48525506,1,Partially Fulfilled,2020/11/3,2020/11/3,,1,Cust-2271 Austin Co-op,V-101003 Feeding The Carolinas,CR10104,"-1,500.00","2,138.32",31500,0,993,FA Arranged,Cust-2271,,,
48525508,Produce,2020/11/2 9:20,2020/11/2,PR48525508,1,Billed,2020/11/3,,,1,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,42000,858.1,Vendor Arranged,Cust-2247,,,
48525509,Produce,2020/11/2 9:20,2020/11/2,PR48525509,1,Billed,2020/11/4,,,2,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,42000,858.1,Vendor Arranged,Cust-2247,,,
