,Document Number,Requested Pickup Date,Doner,Doner Address,Doner City,Doner State,Receiver,Receiver Address,Receiver City,Receiver State,Actual Freight Cost,Shipping Method Code,Transaction Year,Year 2018,Year 2019,Year 2020,Year 2021,Transaction Month,Season,Spring,Summer,Autumn,Winter,Miles,Route Highway Density,Doner Highway Density,Doner State Area,Receiver Highway Density,Receiver State Area,Diesel Price,Total Gross Weight,Case,Carton,Bag,Totes,Box,Crate,Bulk box,Bin,Pallet,LB,FRUITS Gross Weight,FRUITS Pack,FRUITS Size,FRUITS Units,FRUITS Item Gross Weight,FRUITS Quantity,APPLE,APRICOT,BANANA,CANTALOUPE,CHERRY,CITRUS,GRAPE,GRAPEFRUIT,HONEYDEW,KIWI,LEMON,LIME,MANDARIN,MANGO,MELON,ORANGE,PEACH,PEAR,PERSIMMON,PINEAPPLE,PLANTAIN,PLUM,"PRODUCE, BOXES","STONE FRUIT, MIXED",STRAWBERRY,TANGERINE,WATERMELON,VEGETABLES Gross Weight,VEGETABLES Pack,VEGETABLES Size,VEGETABLES Units,VEGETABLES Item Gross Weight,VEGETABLES Quantity,ASPARAGUS,BEAN,BEET,BOK CHOY,BROCCOLI,BRUSSEL SPROUT,CABBAGE,CARROT,CAULIFLOWER,CELERY,CHARD,CORN,CUCUMBER,EGGPLANT,GREENS,"GREENS, COLLARD","GREENS, MUSTARD",KALE,LETTUCE,ONION,PARSNIP,PEPPER,POTATO,"PRODUCE, ASSORTED VEGETABLE",PUMPKIN,RADISH,RUTABAGA,SQUASH,"SQUASH, HARD/WINTER","SQUASH, SOFT/SUMMER",SWEET POTATO,TOMATILLO,TOMATO,TURNIP,VEGETABLE,Donation Date
0,PR43475319,2020/1/31,Lynn-Ette & Sons,1512 Kent Rd,Kent,New York,"Houston, Texas Food Bank (FB)",535 Portwall St,Houston,Texas,3084.53,1,2020,0,0,1,0,1,Spring,1,0,0,0,1547.0,1.7629326419937894,4.54,122114.5374,1.26,674285.7143,2.9560000000000004,40800.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40800.0,1.0,1200.0,Bin,1200.0,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2020/1/28
1,PR19577402,2018/3/15,Lynn-Ette & Sons,1512 Kent Rd,Kent,New York,"Kingsport, Tennessee Food Bank (FB)",1020 Jericho Dr,Kingsport,Tennessee,2199.0,1,2018,1,0,0,0,3,Spring,1,0,0,0,669.0,3.587478595934076,4.54,122114.5374,2.5,106960.0,2.972,40000.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.0,50.0,Case,50.0,800.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/3/14
2,PR25679284,2018/8/28,Central California Food Bank,1300 I St,Reedley,California,"Plano, TX Food Bank (FB)",3677 Mapleshade Lane,Plano,Texas,4600.0,1,2018,1,0,0,0,8,Autumn,0,0,1,0,1550.0,1.6155761502019745,2.21,403348.4163,1.26,674285.7143,3.252,36000.0,0,0,0,0,1,0,0,0,0,0,36000.0,1.0,25.0,Box,25.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/8/28
3,PR33897355,2019/4/8,"Williams Farms, LLC",5060 Russell Rd,Marion,New York,"Bronx, New York Food Bank (FB)",4912 14th Avenue,Brooklyn,New York,1349.0,1,2019,0,1,0,0,4,Summer,0,1,0,0,321.0,4.54,4.54,122114.5374,4.54,122114.5374,3.093,42000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,1.0,50.0,Bag,50.0,840.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/3/26
4,PR23992843,2018/7/13,"Second Harvest of South Georgia, Inc",120 Roseway Dr,Thomasville,Georgia,"Texarkana, Arkansas Food Bank (FB)",3120 E 19th St,Texarkana,Arkansas,1917.43,1,2018,1,0,0,0,7,Autumn,0,0,1,0,723.0,1.5047413364757132,1.8,148666.6667,1.18,135169.4915,3.239,42152.0,0,0,0,1,0,0,0,0,0,0,23000.0,1.0,1150.0,Totes,1150.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,19152.0,1.0,38.0,Box,38.0,504.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2018/7/12
5,PR38912920,2019/7/16,"Food Bank of the Rio Grande Valley, Inc.",4001 Ursula Ave.,McAllen,Texas,"Kansas City, Missouri Food Bank (FB)",3801 Topping Ave,Kansas City,Missouri,2550.0,1,2019,0,1,0,0,7,Autumn,0,0,1,0,1009.0,1.3559816746364761,1.26,674285.7143,1.72,177790.6977,3.0439999999999996,40320.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40320.0,42.0,1.0,Bag,42.0,960.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/7/16
6,PR41361553,2019/10/4,California Association of Food Banks,1 Harris Rd,Salinas,California,"Plano, TX Food Bank (FB)",3677 Mapleshade Lane,Plano,Texas,3402.72,1,2019,0,1,0,0,10,Winter,0,0,0,1,1644.0,1.6155761502019745,2.21,403348.4163,1.26,674285.7143,3.0469999999999997,42240.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42240.0,1.0,55.0,Box,55.0,768.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/10/1
7,PR30592085,2019/1/5,Forgotten Harvest,28700 Plymouth Rd,Livonia,Michigan,"Kansas City, Missouri Food Bank (FB)",3801 Topping Ave,Kansas City,Missouri,1699.0,1,2019,0,1,0,0,1,Spring,1,0,0,0,770.0,2.2526236603509004,2.9,146275.8621,1.72,177790.6977,3.013,36000.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,1.0,50.0,Carton,50.0,720.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/1/4
8,PR30477377,2019/1/7,"Williams Farms, LLC",5060 Russell Rd,Marion,New York,"Louisville, KY Food Bank (FB)",5803 Fern Valley Rd,Louisville,Kentucky,1599.0,1,2019,0,1,0,0,1,Spring,1,0,0,0,634.0,3.728500668256216,4.54,122114.5374,2.76,102318.8406,3.013,42000.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,10.0,5.0,Bag,50.0,840.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2019/1/2
9,PR45876324,2020/7/10,The Church of Jesus Christ of Latter-day Saints,6619 N Railroad Ave,Pasco,Washington,"El Paso, Texas Food Bank (FB)",9541 Plaza Cir,El Paso,Texas,3597.5,1,2020,0,0,1,0,7,Autumn,0,0,1,0,1502.0,1.2782477322502461,1.35,171481.4815,1.26,674285.7143,2.438,42000.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,1.0,50.0,Box,50.0,840.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2020/6/3
